before_id,after_id,iou,status,area_before_px,area_after_px,pct_change,semantic_change,before_exg,after_exg,before_g_r,after_g_r
27,9.0,0.8547717928886414,matched_same,2349,2327,-0.009365687526607066,BARE_SOIL -> VEGETATION,-15.94848918914795,29.6325740814209,-48.85270309448242,-7.596905708312988
28,68.0,0.0,weak_match,1000,774,-0.226,BARE_SOIL -> BARE_SOIL,8.857999801635742,17.855297088623047,-33.0989990234375,-22.303617477416992
29,70.0,0.0,weak_match,1205,1723,0.4298755186721992,VEGETATION -> POSSIBLE_WATER,75.32365417480469,-1.883342981338501,33.38589096069336,-37.79106140136719
30,53.0,0.001952171791344881,weak_match,7127,1340,-0.8119826013750526,VEGETATION -> BARE_SOIL,76.23670196533203,11.018656730651855,36.00771713256836,-20.781343460083008
31,153.0,0.0070634400472044945,weak_match,7867,72,-0.9908478454302784,VEGETATION -> VEGETATION,70.03533935546875,42.76388931274414,33.253971099853516,11.222222328186035
32,75.0,0.0,weak_match,6,1421,235.83333333333334,BARE_SOIL -> VEGETATION,-10.166666984558105,101.54891204833984,-55.66666793823242,56.011962890625
33,113.0,0.0032543607521802187,weak_match,7440,531,-0.9286290322580645,VEGETATION -> VEGETATION,73.11801147460938,73.81356048583984,33.24771499633789,31.800376892089844
34,114.0,0.8097251653671265,matched_same,872,982,0.12614678899082568,VEGETATION -> VEGETATION,30.45183563232422,78.11507415771484,-10.987385749816895,30.75050926208496
35,18.0,0.7709731459617615,matched_same,1042,1238,0.18809980806142035,VEGETATION -> VEGETATION,33.99616241455078,28.56865882873535,-5.743762016296387,-14.666397094726562
36,106.0,0.19503666460514069,weak_match,9120,1878,-0.7940789473684211,VEGETATION -> VEGETATION,64.72828674316406,71.55644226074219,26.01107406616211,33.97763442993164
37,42.0,0.8680588603019714,matched_same,2153,1994,-0.07385044124477473,VEGETATION -> VEGETATION,65.57501220703125,69.08575439453125,26.91267967224121,36.143428802490234
38,71.0,0.7618213891983032,matched_same,546,563,0.031135531135531136,VEGETATION -> VEGETATION,36.31318664550781,55.23090744018555,-0.47985348105430603,6.255772590637207
39,83.0,0.0,weak_match,8113,1403,-0.8270676691729323,VEGETATION -> VEGETATION,77.6941909790039,33.998573303222656,35.79021453857422,-4.812544345855713
40,41.0,0.8978102207183838,matched_same,1674,1663,-0.006571087216248507,BARE_SOIL -> BARE_SOIL,4.956989288330078,18.969331741333008,-38.16009521484375,-26.289836883544922
41,54.0,0.934096097946167,matched_same,2256,2214,-0.018617021276595744,BARE_SOIL -> BARE_SOIL,-10.407801628112793,-1.6192412376403809,-48.46719741821289,-36.83152770996094
42,65.0,0.0,weak_match,1434,4,-0.99721059972106,VEGETATION -> VEGETATION,68.41422271728516,60.5,29.860530853271484,30.75
43,154.0,0.02455546148121357,weak_match,51,1212,22.764705882352942,VEGETATION -> VEGETATION,72.8431396484375,50.33828353881836,38.490196228027344,17.179868698120117
44,36.0,0.8994721174240112,matched_same,4290,4332,0.009790209790209791,VEGETATION -> VEGETATION,63.3657341003418,58.72576141357422,27.082983016967773,22.394737243652344
45,1.0,0.2576441764831543,possible_change,7020,22866,2.2572649572649572,VEGETATION -> BARE_SOIL,40.8746452331543,3.70353364944458,2.0538461208343506,-41.29970169067383
46,89.0,0.0,weak_match,4,1379,343.75,VEGETATION -> VEGETATION,26.25,72.8883285522461,6.75,32.746192932128906
47,86.0,0.832524299621582,matched_same,758,887,0.17018469656992086,BARE_SOIL -> VEGETATION,-0.49076518416404724,92.88275146484375,-39.21240234375,46.082298278808594
48,17.0,0.9267438054084778,matched_same,2859,2883,0.008394543546694649,VEGETATION -> VEGETATION,23.9454345703125,27.663198471069336,-21.008045196533203,-15.934443473815918
49,90.0,0.0,weak_match,117,44,-0.6239316239316239,VEGETATION -> VEGETATION,100.64957427978516,72.56818389892578,47.61538314819336,37.15909194946289
50,11.0,0.2764871418476105,possible_change,5194,2356,-0.5463996919522526,VEGETATION -> BARE_SOIL,30.69368553161621,18.575551986694336,-11.617057800292969,-27.288625717163086
51,58.0,0.0,weak_match,4,6,0.5,VEGETATION -> VEGETATION,64.25,69.5,17.75,28.0
52,43.0,0.9098173379898071,matched_same,3364,3595,0.06866825208085613,VEGETATION -> VEGETATION,71.10285186767578,73.1688461303711,31.69857406616211,35.99666213989258
53,93.0,0.0,weak_match,4,12,2.0,POSSIBLE_WATER -> VEGETATION,19.25,20.66666603088379,-5.75,-16.16666603088379
54,20.0,0.8961600661277771,matched_same,1807,1785,-0.012174875484228001,BARE_SOIL -> VEGETATION,10.058107376098633,111.72100830078125,-18.02490234375,65.72437286376953
55,94.0,0.0,weak_match,860,1428,0.6604651162790698,BARE_SOIL -> VEGETATION,-6.103488445281982,51.496498107910156,-44.30581283569336,5.910364151000977
56,10.0,0.6329113841056824,matched_same,920,1431,0.5554347826086956,VEGETATION -> BARE_SOIL,50.982608795166016,18.313766479492188,13.10326099395752,-26.151641845703125
57,96.0,0.0,weak_match,2827,243,-0.9140431552882915,VEGETATION -> VEGETATION,76.56066131591797,24.967077255249023,34.469757080078125,3.0946502685546875
58,44.0,0.7818182110786438,matched_same,810,1010,0.24691358024691357,BARE_SOIL -> VEGETATION,9.240740776062012,45.76930618286133,-30.891357421875,7.580197811126709
59,98.0,0.0,weak_match,647,6,-0.990726429675425,BARE_SOIL -> VEGETATION,17.24884033203125,54.83333206176758,-14.7418851852417,17.33333396911621
63,100.0,0.0,weak_match,451,4,-0.991130820399113,VEGETATION -> VEGETATION,33.11086654663086,23.75,2.1640799045562744,-6.75
65,49.0,0.39905089139938354,possible_change,2212,1240,-0.4394213381555154,BARE_SOIL -> BARE_SOIL,-0.9349005222320557,-0.2806451618671417,-38.257686614990234,-35.47096633911133
66,104.0,0.7472602725028992,matched_same,1466,1328,-0.0941336971350614,BARE_SOIL -> VEGETATION,4.9126877784729,31.982681274414062,-35.19440841674805,-9.213102340698242
67,124.0,0.7416356801986694,matched_same,2820,3067,0.0875886524822695,VEGETATION -> VEGETATION,70.35922241210938,48.21193313598633,33.875885009765625,9.82654094696045
68,39.0,0.40313851833343506,possible_change,1895,862,-0.5451187335092348,VEGETATION -> VEGETATION,23.470712661743164,41.22157669067383,-13.726120948791504,-2.808584690093994
69,135.0,0.0074404762126505375,weak_match,12,1400,115.66666666666667,VEGETATION -> VEGETATION,64.91666412353516,46.24785614013672,33.0,8.639286041259766
